corp_code,corp_name_kr,corp_name_en,stock_code,year,rcept_date,stock_price,shares_outstanding,scale
00126380,삼성전자,"SAMSUNG ELECTRONICS CO,.LTD",005930,2023,20240312,73300.0,5969782550.0,large
00126380,삼성전자,"SAMSUNG ELECTRONICS CO,.LTD",005930,2024,20250311,53600.0,5919637922.0,large
00164779,SK하이닉스,SK hynix Inc.,000660,2023,20240319,160200.0,728002365.0,large
00164779,SK하이닉스,SK hynix Inc.,000660,2024,20250319,205500.0,728002365.0,large
01515323,LG에너지솔루션,"LG ENERGY SOLUTION, LTD.",373220,2023,20240314,416000.0,234000000.0,large
01515323,LG에너지솔루션,"LG ENERGY SOLUTION, LTD.",373220,2024,20250312,348500.0,234000000.0,large
00877059,삼성바이오로직스,"SAMSUNG BIOLOGICS CO.,LTD.",207940,2023,20240307,796000.0,71174000.0,large
00877059,삼성바이오로직스,"SAMSUNG BIOLOGICS CO.,LTD.",207940,2024,20250306,1130000.0,71174000.0,large
00164742,현대자동차,HYUNDAI MOTOR CO,005380,2023,20240313,248500.0,211531506.0,large
00164742,현대자동차,HYUNDAI MOTOR CO,005380,2024,20250312,198200.0,209416191.0,large
00413046,셀트리온,"Celltrion, Inc.",068270,2023,20240318,182500.0,218049762.0,large
00413046,셀트리온,"Celltrion, Inc.",068270,2024,20250317,187800.0,214108119.0,large
00106641,기아,KIA CORPORATION,000270,2023,20240312,126100.0,402044203.0,large
00106641,기아,KIA CORPORATION,000270,2024,20250313,100400.0,397672632.0,large
00688996,KB금융,KB Financial Group Inc.,105560,2023,20240326,71800.0,403511072.0,large
00688996,KB금융,KB Financial Group Inc.,105560,2024,20250314,78300.0,393528423.0,large
00266961,NAVER,NAVER Corporation,035420,2023,20240318,184100.0,162408594.0,large
00266961,NAVER,NAVER Corporation,035420,2024,20250318,209000.0,158437008.0,large
01390344,HD현대중공업,"HD HYUNDAI HEAVY INDUSTRIES CO.,LTD.",329180,2023,20240318,123100.0,88773116.0,large
01390344,HD현대중공업,"HD HYUNDAI HEAVY INDUSTRIES CO.,LTD.",329180,2024,20250318,316500.0,88773116.0,large
00382199,신한지주,"SHINHAN FINANCIAL GROUP CO.,LTD",055550,2023,20240318,48950.0,512759471.0,large
00382199,신한지주,"SHINHAN FINANCIAL GROUP CO.,LTD",055550,2024,20250318,46550.0,503445325.0,large
00164788,현대모비스,"HYUNDAI MOBIS CO.,LTD",012330,2023,20240319,253500.0,93655094.0,large
00164788,현대모비스,"HYUNDAI MOBIS CO.,LTD",012330,2024,20250311,248000.0,92995094.0,large
00155319,POSCO홀딩스,POSCO Holdings Inc.,005490,2023,20240322,428500.0,84571230.0,large
00155319,POSCO홀딩스,POSCO Holdings Inc.,005490,2024,20250312,314000.0,82624377.0,large
00102858,고려아연,KOREA ZINC INC,010130,2023,20240328,454500.0,20908588.0,large
00102858,고려아연,KOREA ZINC INC,010130,2024,20250331,778000.0,20703283.0,large
00149655,삼성물산,SAMSUNG C&T CORPORATION,028260,2023,20240329,158500.0,185591670.0,large
00149655,삼성물산,SAMSUNG C&T CORPORATION,028260,2024,20250321,124900.0,169976544.0,large
00860332,메리츠금융지주,MERITZ FINANCIAL GROUP INC.,138040,2023,20240430,79400.0,190720114.0,large
00860332,메리츠금융지주,MERITZ FINANCIAL GROUP INC.,138040,2024,20250328,123000.0,190720114.0,large
00126256,삼성생명,"Samsung Life Insurance co., Ltd",032830,2023,20240429,88600.0,200000000.0,large
00126256,삼성생명,"Samsung Life Insurance co., Ltd",032830,2024,20250331,82900.0,200000000.0,large
00356361,LG화학,LG CHEM LTD,051910,2023,20240315,431000.0,70592343.0,large
00356361,LG화학,LG CHEM LTD,051910,2024,20250314,231000.0,70592343.0,large
00126362,삼성SDI,"SAMSUNG SDI CO.,LTD",006400,2023,20240312,459500.0,68764530.0,large
00126362,삼성SDI,"SAMSUNG SDI CO.,LTD",006400,2024,20250311,209000.0,68764530.0,large
00139214,삼성화재해상보험,"SAMSUNG FIRE & MARINE INSURANCE CO.,LTD",000810,2023,20240429,309500.0,47374837.0,large
00139214,삼성화재해상보험,"SAMSUNG FIRE & MARINE INSURANCE CO.,LTD",000810,2024,20250328,357000.0,47374837.0,large
00258801,카카오,Kakao Corp.,035720,2023,20240418,49100.0,445243887.0,large
00258801,카카오,Kakao Corp.,035720,2024,20250324,41900.0,443721032.0,large
00631518,SK이노베이션,"SK Innovation Co., Ltd.",096770,2023,20240320,119700.0,95735590.0,large
00631518,SK이노베이션,"SK Innovation Co., Ltd.",096770,2024,20250318,126100.0,151034776.0,large
00547583,하나금융지주,Hana Financial Group Inc.,086790,2023,20240314,64600.0,292356598.0,large
00547583,하나금융지주,Hana Financial Group Inc.,086790,2024,20250317,61000.0,287240880.0,large
00164830,HD한국조선해양,"HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO., LTD.",009540,2023,20240321,127900.0,70773116.0,large
00164830,HD한국조선해양,"HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO., LTD.",009540,2024,20250318,220500.0,70773116.0,large
00164645,HMM,"HMM CO.,LTD",011200,2023,20240328,15750.0,689039496.0,large
00164645,HMM,"HMM CO.,LTD",011200,2024,20250318,20800.0,881039496.0,large
00760971,크래프톤,"KRAFTON, Inc.",259960,2023,20240318,238000.0,48364493.0,large
00760971,크래프톤,"KRAFTON, Inc.",259960,2024,20250318,351000.0,47908299.0,large
00126566,한화에어로스페이스,"HANWHA AEROSPACE CO., LTD.",012450,2023,20240329,204500.0,50630000.0,large
00126566,한화에어로스페이스,"HANWHA AEROSPACE CO., LTD.",012450,2024,20250317,753000.0,45581161.0,large
01205851,HD현대일렉트릭,"HD HYUNDAI ELECTRIC CO.,LTD",267260,2023,20240318,154600.0,36047135.0,large
01205851,HD현대일렉트릭,"HD HYUNDAI ELECTRIC CO.,LTD",267260,2024,20250320,350500.0,36047135.0,large
00401731,LG전자,LG ELECTRONICS INC.,066570,2023,20240318,96100.0,163647814.0,large
00401731,LG전자,LG ELECTRONICS INC.,066570,2024,20250317,82100.0,163647814.0,large
00244455,케이티앤지,KT&G Corporation,033780,2023,20240320,91300.0,130322497.0,large
00244455,케이티앤지,KT&G Corporation,033780,2024,20250318,96800.0,122062497.0,large
00159193,한국전력공사,KOREA ELECTRIC POWER CORPORATION,015760,2023,20240329,22000.0,641964077.0,large
00159193,한국전력공사,KOREA ELECTRIC POWER CORPORATION,015760,2024,20250318,21750.0,641964077.0,large
00159023,SK텔레콤,"SK TELECOM CO.,LTD",017670,2023,20240318,53200.0,214790053.0,large
00159023,SK텔레콤,"SK TELECOM CO.,LTD",017670,2024,20250317,55800.0,214790053.0,large
00111704,한화오션,"Hanwha Ocean Co., Ltd.",042660,2023,20240328,27400.0,306358899.0,large
00111704,한화오션,"Hanwha Ocean Co., Ltd.",042660,2024,20250314,74300.0,306413394.0,large
00149646,기업은행,INDUSTRIAL BANK OF KOREA,024110,2023,20240430,13950.0,797425869.0,large
00149646,기업은행,INDUSTRIAL BANK OF KOREA,024110,2024,20250318,15800.0,797425869.0,large
01350869,우리금융지주,Woori Financial Group Inc.,316140,2023,20240314,15160.0,751949461.0,large
01350869,우리금융지주,Woori Financial Group Inc.,316140,2024,20250318,16540.0,742591501.0,large
00120021,LG,LG Corp.,003550,2023,20240319,89100.0,157300993.0,large
00120021,LG,LG Corp.,003550,2024,20250318,68800.0,157300993.0,large
